matrix_id,rhs_file,n,nnz,k,converged,reason,its,residual,time
10,rhs_10_1.bin,302,1786,0,True,2,22,2.0742271939958857e-06,0.0007152840007620398
10,rhs_10_1.bin,302,1786,1,True,2,17,3.2742593411907733e-06,0.0005872080000699498
10,rhs_10_1.bin,302,1786,2,True,2,13,1.003049895186051e-06,0.0006475079999290756
10,rhs_10_1.bin,302,1786,3,True,2,8,5.569919788345271e-06,0.0007957070001793909
10,rhs_10_2.bin,302,1786,0,True,2,23,3.5462400653433977e-06,0.0004861719999098568
10,rhs_10_2.bin,302,1786,1,True,2,18,5.087873645914462e-06,0.0005420010002126219
10,rhs_10_2.bin,302,1786,2,True,2,13,2.679112928941217e-06,0.0005997149992253981
10,rhs_10_2.bin,302,1786,3,True,2,8,1.965709282950339e-05,0.0008232370000769151
10,rhs_10_3.bin,302,1786,0,True,2,23,0.0002870331582292508,0.00050741300037771
10,rhs_10_3.bin,302,1786,1,True,2,18,0.00031923842170985243,0.000543608000043605
10,rhs_10_3.bin,302,1786,2,True,2,13,0.00020297448448342335,0.0005748410003434401
10,rhs_10_3.bin,302,1786,3,True,2,9,0.0001202570633423593,0.0007495910003854078
10,rhs_10_4.bin,302,1786,0,True,2,21,0.0002806620935094822,0.00043383800039009657
10,rhs_10_4.bin,302,1786,1,True,2,17,0.0002542558414762939,0.0005083220003143651
10,rhs_10_4.bin,302,1786,2,True,2,12,0.0005379772384405257,0.0005942650004726602
10,rhs_10_4.bin,302,1786,3,True,2,7,0.0012764765188449621,0.0007276520000232267
10,rhs_10_5.bin,302,1786,0,True,2,20,0.00029195322298791173,0.00045822399988537654
10,rhs_10_5.bin,302,1786,1,True,2,18,0.00014840653370624114,0.0005504549999386654
10,rhs_10_5.bin,302,1786,2,True,2,11,0.0006900363046823435,0.0005294930006130016
10,rhs_10_5.bin,302,1786,3,True,2,7,0.0012732323071693412,0.0006943219996173866
10,mat_10.txt,mat_10.mtx,rhs_10_1.bin,0,True,2,32,1.1012978514751669e-09,0.0012154200003351434
10,mat_10.txt,mat_10.mtx,rhs_10_1.bin,1,True,2,26,1.7965182252013649e-09,0.0009248010001101648
10,mat_10.txt,mat_10.mtx,rhs_10_1.bin,2,True,2,17,9.977453854165022e-10,0.0009810250003283727
10,mat_10.txt,mat_10.mtx,rhs_10_1.bin,3,True,2,11,5.182626395333981e-09,0.0010307539996574633
10,mat_10.txt,mat_10.mtx,rhs_10_2.bin,0,True,2,31,4.430786082972545e-09,0.0007947519998197095
10,mat_10.txt,mat_10.mtx,rhs_10_2.bin,1,True,2,26,3.987951451955513e-09,0.0009402369996678317
10,mat_10.txt,mat_10.mtx,rhs_10_2.bin,2,True,2,17,2.617927637734394e-09,0.0009249409995391034
10,mat_10.txt,mat_10.mtx,rhs_10_2.bin,3,True,2,11,1.3497619276532787e-08,0.0008717199998500291
10,mat_10.txt,mat_10.mtx,rhs_10_3.bin,0,True,2,32,1.6252132534319482e-07,0.0007264449996000621
10,mat_10.txt,mat_10.mtx,rhs_10_3.bin,1,True,2,26,2.917804263322696e-07,0.0007373400003416464
10,mat_10.txt,mat_10.mtx,rhs_10_3.bin,2,True,2,17,1.4523062059512488e-07,0.0007875579995015869
10,mat_10.txt,mat_10.mtx,rhs_10_3.bin,3,True,2,11,7.340217863571191e-07,0.0011853879996124306
10,mat_10.txt,mat_10.mtx,rhs_10_4.bin,0,True,2,30,3.28778626205821e-07,0.000771213999541942
10,mat_10.txt,mat_10.mtx,rhs_10_4.bin,1,True,2,25,3.0868447928221367e-07,0.0007369209997705184
10,mat_10.txt,mat_10.mtx,rhs_10_4.bin,2,True,2,16,3.1597557168457714e-07,0.0006808369998907438
10,mat_10.txt,mat_10.mtx,rhs_10_4.bin,3,True,2,11,2.2440045401757525e-07,0.000818010000330105
10,mat_10.txt,mat_10.mtx,rhs_10_5.bin,0,True,2,30,1.712304877740087e-07,0.000681675000123505
10,mat_10.txt,mat_10.mtx,rhs_10_5.bin,1,True,2,26,1.3676732153965279e-07,0.0007469789998140186
10,mat_10.txt,mat_10.mtx,rhs_10_5.bin,2,True,2,16,4.314004259326183e-07,0.0006854459998066886
10,mat_10.txt,mat_10.mtx,rhs_10_5.bin,3,True,2,11,3.088574968465144e-07,0.0008076029998846934
